title,full_text,link,image
CASA MUUTTI & more,"CASA MUUTTI & more
여름 식탁에 더할
산뜻한 포인트
~86% 할인 + 12% 쿠폰
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/100/00/260600000737100_20260625145754.jpg?cVer=25025754&RS=600&SP=1
"여름 식탁에 더할
산뜻한 포인트","여름 식탁에 더할
산뜻한 포인트",,
~86% 할인 + 12% 쿠폰,~86% 할인 + 12% 쿠폰,,
JAAH,"JAAH
JAAH X
인플루언서 서지연
최대 15% 할인
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/255/00/260600000737255_20260624160709.jpg?RS=600&SP=1
"JAAH X
인플루언서 서지연","JAAH X
인플루언서 서지연",,
최대 15% 할인,최대 15% 할인,,
RICK OWENS,"RICK OWENS
릭오웬스
베스트 셀렉션
가장 사랑받은 아이코닉 피스 모아보기
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/485/00/260600000734485_20260615133906.jpg?RS=600&SP=1
"릭오웬스
베스트 셀렉션","릭오웬스
베스트 셀렉션",,
가장 사랑받은 아이코닉 피스 모아보기,가장 사랑받은 아이코닉 피스 모아보기,,
TEVA,"TEVA
가볍고 견고한
샌들을 찾는다면
테바 시즌오프, ~30% + 쿠폰
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/847/00/260600000736847_20260624095643.jpg?cVer=25091736&RS=600&SP=1
"가볍고 견고한
샌들을 찾는다면","가볍고 견고한
샌들을 찾는다면",,
"테바 시즌오프, ~30% + 쿠폰","테바 시즌오프, ~30% + 쿠폰",,
ONEILL,"ONEILL
오닐과 함께
떠나는 바캉스
~60% + 비치타올 증정 + 쿠폰
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/450/00/260600000735450_20260618092449.jpg?RS=600&SP=1
"오닐과 함께
떠나는 바캉스","오닐과 함께
떠나는 바캉스",,
~60% + 비치타올 증정 + 쿠폰,~60% + 비치타올 증정 + 쿠폰,,
TEFAL & more,"TEFAL & more
낡은 프라이팬
새로 장만할 때
인기 프라이팬 브랜드 ~78% 할인
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/946/00/260600000735946_20260619131352.jpg?RS=600&SP=1
"낡은 프라이팬
새로 장만할 때","낡은 프라이팬
새로 장만할 때",,
인기 프라이팬 브랜드 ~78% 할인,인기 프라이팬 브랜드 ~78% 할인,,
REPETTO,"REPETTO
레페토
시즌 오프
최대 40% 할인 + 쿠폰
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/888/00/260600000735888_20260619094355.jpg?RS=600&SP=1
"레페토
시즌 오프","레페토
시즌 오프",,
최대 40% 할인 + 쿠폰,최대 40% 할인 + 쿠폰,,
LEVI`S,"LEVI`S
여름 바캉스도
리바이스와 함께
~27% 할인 + 쿠폰 혜택
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/515/00/260600000736515_20260623134427.jpg?RS=600&SP=1
"여름 바캉스도
리바이스와 함께","여름 바캉스도
리바이스와 함께",,
~27% 할인 + 쿠폰 혜택,~27% 할인 + 쿠폰 혜택,,
